tier,model,representation,L_tokens,restore_ms,update_ms,peak_mem_gb,state_bytes,kv_bytes,feasible,transfer_s_bw1m_rtt50ms,transfer_s_bw1m_rtt200ms,transfer_s_bw10m_rtt50ms,transfer_s_bw10m_rtt200ms,transfer_s_bw100m_rtt50ms,transfer_s_bw100m_rtt200ms
a6000,qwen7b,summary_200,16384,31.64,3590.3,,684,939524096,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,16384,95.18,,,,939524096,1,,,,,,
a6000,qwen7b,incr_cold,16384,3269.29,,,,939524096,1,,,,,,
a6000,qwen7b,full,24576,5244.97,,20.17,100906,1409286144,1,0.8572,1.0072,0.1307,0.2807,0.0581,0.2081
a6000,qwen7b,window,24576,97.71,,,1540,1409286144,1,0.0623,0.2123,0.0512,0.2012,0.0501,0.2001
a6000,qwen7b,summary_80,24576,30.26,2864.32,,317,1409286144,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,24576,32.13,3600.29,,684,1409286144,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,24576,125.88,,,,1409286144,1,,,,,,
a6000,qwen7b,incr_cold,24576,5560.85,,,,1409286144,1,,,,,,
a6000,qwen7b,full,32768,7804.84,,21.81,134130,1879048192,1,1.123,1.273,0.1573,0.3073,0.0607,0.2107
a6000,qwen7b,window,32768,65.34,,,1288,1879048192,1,0.0603,0.2103,0.051,0.201,0.0501,0.2001
a6000,qwen7b,summary_80,32768,29.18,2874.88,,317,1879048192,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,32768,32.08,3581.37,,684,1879048192,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,32768,153.88,,,,1879048192,1,,,,,,
a6000,qwen7b,incr_cold,32768,8183.77,,,,1879048192,1,,,,,,
a6000,qwen7b,full,49152,14820.37,,25.1,203588,2818572288,1,1.6787,1.8287,0.2129,0.3629,0.0663,0.2163
a6000,qwen7b,window,49152,67.33,,,1326,2818572288,1,0.0606,0.2106,0.0511,0.2011,0.0501,0.2001
a6000,qwen7b,summary_80,49152,30.66,2881.02,,317,2818572288,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,49152,35.77,3591.17,,684,2818572288,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,49152,317.62,,,,2818572288,1,,,,,,
a6000,qwen7b,incr_cold,49152,15766.0,,,,2818572288,1,,,,,,
a6000,qwen7b,full,65536,21720.17,,28.38,269835,3758096384,1,2.2087,2.3587,0.2659,0.4159,0.0716,0.2216
a6000,qwen7b,window,65536,68.07,,,1197,3758096384,1,0.0596,0.2096,0.051,0.201,0.0501,0.2001
a6000,qwen7b,summary_80,65536,30.51,2871.1,,317,3758096384,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
a6000,qwen7b,summary_200,65536,36.37,3561.18,,684,3758096384,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
a6000,qwen7b,incr_warm,65536,330.0,,,,3758096384,1,,,,,,
a6000,qwen7b,incr_cold,65536,22523.05,,,,3758096384,1,,,,,,
rtx3090ti,qwen7b,full,1024,220.34,,15.46,4498,58720256,1,0.086,0.236,0.0536,0.2036,0.0504,0.2004
rtx3090ti,qwen7b,window,1024,119.21,,,1876,58720256,1,0.065,0.215,0.0515,0.2015,0.0502,0.2002
rtx3090ti,qwen7b,summary_80,1024,25.34,2184.89,,317,58720256,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
rtx3090ti,qwen7b,summary_200,1024,31.55,4942.73,,684,58720256,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
rtx3090ti,qwen7b,incr_warm,1024,34.23,,,,58720256,1,,,,,,
rtx3090ti,qwen7b,incr_cold,1024,263.64,,,,58720256,1,,,,,,
rtx3090ti,qwen7b,full,2048,467.75,,15.65,8617,117440512,1,0.1189,0.2689,0.0569,0.2069,0.0507,0.2007
rtx3090ti,qwen7b,window,2048,116.68,,,2176,117440512,1,0.0674,0.2174,0.0517,0.2017,0.0502,0.2002
rtx3090ti,qwen7b,summary_80,2048,26.83,2537.67,,317,117440512,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
rtx3090ti,qwen7b,summary_200,2048,33.04,3112.66,,684,117440512,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
rtx3090ti,qwen7b,incr_warm,2048,40.95,,,,117440512,1,,,,,,
rtx3090ti,qwen7b,incr_cold,2048,499.8,,,,117440512,1,,,,,,
rtx3090ti,qwen7b,full,4096,981.76,,16.07,17246,234881024,1,0.188,0.338,0.0638,0.2138,0.0514,0.2014
rtx3090ti,qwen7b,window,4096,91.2,,,1333,234881024,1,0.0607,0.2107,0.0511,0.2011,0.0501,0.2001
rtx3090ti,qwen7b,summary_80,4096,27.51,2529.9,,317,234881024,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
rtx3090ti,qwen7b,summary_200,4096,33.74,3177.77,,684,234881024,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
rtx3090ti,qwen7b,incr_warm,4096,47.95,,,,234881024,1,,,,,,
rtx3090ti,qwen7b,incr_cold,4096,982.52,,,,234881024,1,,,,,,
rtx3090ti,qwen7b,full,8192,2027.89,,16.89,34413,469762048,1,0.3253,0.4753,0.0775,0.2275,0.0528,0.2028
rtx3090ti,qwen7b,window,8192,79.03,,,1122,469762048,1,0.059,0.209,0.0509,0.2009,0.0501,0.2001
rtx3090ti,qwen7b,summary_80,8192,28.11,2546.33,,317,469762048,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
rtx3090ti,qwen7b,summary_200,8192,35.14,3107.03,,684,469762048,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
rtx3090ti,qwen7b,incr_warm,8192,62.62,,,,469762048,1,,,,,,
rtx3090ti,qwen7b,incr_cold,8192,2117.85,,,,469762048,1,,,,,,
rtx3090ti,qwen7b,full,16384,4868.29,,18.53,68422,939524096,1,0.5974,0.7474,0.1047,0.2547,0.0555,0.2055
rtx3090ti,qwen7b,window,16384,96.69,,,1538,939524096,1,0.0623,0.2123,0.0512,0.2012,0.0501,0.2001
rtx3090ti,qwen7b,summary_80,16384,28.41,2555.0,,317,939524096,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
rtx3090ti,qwen7b,summary_200,16384,34.64,3163.84,,684,939524096,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
rtx3090ti,qwen7b,incr_warm,16384,106.23,,,,939524096,1,,,,,,
rtx3090ti,qwen7b,incr_cold,16384,5086.24,,,,939524096,1,,,,,,
rtx3090ti,qwen7b,full,24576,8525.47,,20.17,100906,1409286144,1,0.8572,1.0072,0.1307,0.2807,0.0581,0.2081
rtx3090ti,qwen7b,window,24576,137.03,,,1540,1409286144,1,0.0623,0.2123,0.0512,0.2012,0.0501,0.2001
rtx3090ti,qwen7b,summary_80,24576,28.33,2610.81,,317,1409286144,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
rtx3090ti,qwen7b,summary_200,24576,33.25,3277.44,,684,1409286144,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
rtx3090ti,qwen7b,full,32768,13694.29,,21.81,134130,1879048192,1,1.123,1.273,0.1573,0.3073,0.0607,0.2107
rtx3090ti,qwen7b,window,32768,89.38,,,1288,1879048192,1,0.0603,0.2103,0.051,0.201,0.0501,0.2001
rtx3090ti,qwen7b,summary_80,32768,29.76,2671.84,,317,1879048192,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
rtx3090ti,qwen7b,summary_200,32768,37.34,3327.37,,684,1879048192,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
rtx3090ti,qwen7b,full,49152,,,,203588,2818572288,0,1.6787,1.8287,0.2129,0.3629,0.0663,0.2163
rtx3090ti,qwen7b,window,49152,99.73,,,1326,2818572288,1,0.0606,0.2106,0.0511,0.2011,0.0501,0.2001
rtx3090ti,qwen7b,summary_80,49152,31.01,2730.28,,317,2818572288,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
rtx3090ti,qwen7b,summary_200,49152,39.22,3399.57,,684,2818572288,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
rtx3090ti,qwen7b,full,65536,,,,269835,3758096384,0,2.2087,2.3587,0.2659,0.4159,0.0716,0.2216
rtx3090ti,qwen7b,window,65536,104.4,,,1197,3758096384,1,0.0596,0.2096,0.051,0.201,0.0501,0.2001
rtx3090ti,qwen7b,summary_80,65536,31.91,2795.68,,317,3758096384,1,0.0525,0.2025,0.0503,0.2003,0.05,0.2
rtx3090ti,qwen7b,summary_200,65536,39.27,3499.33,,684,3758096384,1,0.0555,0.2055,0.0505,0.2005,0.0501,0.2001
